STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/01/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/02/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/03/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/04/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/05/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/06/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/07/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/08/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/09/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/10/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/11/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/12/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/13/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/14/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/15/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/16/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/17/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/18/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/19/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/20/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/21/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/22/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/23/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/24/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/25/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/26/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/27/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/28/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/29/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/30/2020,,,,,,,,
US10doug006,"OMAHA 2.9 W, NE US",41.2658,-95.9927,366.1,01/31/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/01/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/02/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/03/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/04/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/05/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/06/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/07/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/08/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/09/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/10/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/11/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/12/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/13/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/14/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/15/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/16/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/17/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/18/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/19/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/20/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/21/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/22/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/23/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/24/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/25/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/26/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/27/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/28/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/29/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/30/2020,,,,,,,,
US10doug059,"OMAHA 13.2 WSW, NE US",41.206038,-96.181161,,01/31/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/01/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/02/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/03/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/04/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/05/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/06/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/07/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/08/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/09/2020,,,,,,,,
US1Dund1896,"BOYS TOWN 1.98 NNE, NE US",41.283522,-96.12327099,,01/10/2020,,,,,,,,
